"","team","season","tot_injured_value_lost","tot_injured_value_lost_off","tot_injured_value_lost_def"
"1","SF",2020,111.225656588828,75.6704078592033,35.1548251815476
"2","HOU",2021,102.010139567762,78.8546509832031,21.6929492904412
"3","SF",2024,100.985313828054,51.4685038235294,47.4591902986425
"4","CIN",2020,94.6767137819444,41.3733080944444,52.4752199375
"5","WAS",2019,90.9484630032051,76.9960296490385,13.9524333541667
"6","ARI",2022,90.8003332079832,75.9373901911765,12.147238487395
"7","BAL",2022,90.5781568751526,53.8218017640415,36.7563551111111
"8","WAS",2021,90.5775500686275,66.4959356176471,23.3022743921569
"9","CLE",2023,88.0878145816993,68.8747850555555,19.0871228039216
"10","BAL",2015,87.35561,76.492001,10.863609
"11","DAL",2020,86.9908494160353,72.2805217215909,14.7103276944444
"12","NYJ",2019,82.5542843213384,28.4813627430556,54.0729215782828
"13","CAR",2019,82.5421715535714,40.0825479375,35.7632356160714
"14","BAL",2021,82.2925545772059,28.1990014705882,54.0935531066176
"15","CLE",2024,81.0937617473039,56.1782294139706,23.2221273921569
"16","DAL",2015,78.979112,70.528757,8.450355
"17","CLE",2022,78.4169939792717,65.8594772470588,12.5575167322129
"18","HOU",2013,77.864071,22.663466,55.200605
"19","PIT",2019,76.877269139881,51.126687827381,25.7505813125
"20","MIN",2011,75.580547,60.326693,15.253854
"21","LAC",2023,74.2332809071321,64.4533022731092,9.77997863402284
"22","CIN",2019,73.7656883451923,55.5012241,18.2644642451923
"23","NYJ",2023,73.5431261219421,60.5905504379085,12.5196402605042
"24","DAL",2024,73.1095766764706,56.2201526764706,16.889424
"25","NYG",2023,72.6890485152661,53.7099936441177,14.0561837535014
"26","LAC",2015,72.613801,11.075638,61.538163
"27","SF",2015,71.820758,54.423239,17.397519
"28","CAR",2024,71.2246604235637,28.3395083054299,42.8851521181338
"29","ARI",2021,71.1610778347375,37.3484813373016,32.6406646196581
"30","SEA",2022,70.9897472447461,20.1043285290598,49.8172787156863
"31","WAS",2020,70.4371869870989,36.482716622393,33.9544703647059
"32","LA",2022,70.4069062235779,39.3232251544118,31.0836810691661
"33","NYG",2021,70.0324770411765,39.1439819411765,30.8884951
"34","NYJ",2021,69.4262125030966,36.2731735341423,33.1530389689542
"35","BUF",2015,69.251166,36.420207,32.830959
"36","BUF",2023,68.9787015420369,19.9677598947368,49.0109416473001
"37","ARI",2023,67.7003504767507,46.6159397002801,19.9657887764706
"38","TEN",2022,67.2708868877897,27.4020238818388,38.6606314765391
"39","NYJ",2005,66.154717,66.154717,0
"40","CAR",2020,66.0946345888889,10.2395469652778,54.2861721861111
"41","CIN",2013,64.829143,1.462073,57.011298
"42","CHI",2021,63.6575313464052,33.984959875817,29.6725714705882
"43","NO",2024,63.4404957294118,55.0243341411765,8.41616158823529
"44","CAR",2012,63.340544,25.823243,37.517301
"45","DET",2022,63.3044680916667,34.0589863397059,29.2454817519608
"46","NE",2013,63.205288,12.072346,51.132942
"47","PHI",2020,62.9656676197969,47.1758857983683,15.7897818214286
"48","PHI",2024,61.6227425769841,36.3151009007936,25.3076416761905
"49","SF",2018,60.23495,50.557297,9.677653
"50","CHI",2014,60.223651,29.378979,30.844672
"51","TEN",2014,60.131324,49.618741,10.512583
"52","TEN",2024,59.7705037708333,10.1352367647059,48.9108697120098
"53","PIT",2021,59.0731659237233,20.8523175726496,37.6482066288515
"54","BAL",2023,58.9160999127967,27.7844232285862,27.6572016842105
"55","NO",2021,58.3373244086007,33.7447951733066,18.5842402352941
"56","SF",2019,57.5439753434469,37.3516618140351,19.079667371517
"57","LAC",2016,57.40819025,38.0385638125,19.3696264375
"58","NE",2024,57.2090446588235,16.1894854117647,40.9044922470588
"59","DET",2021,57.0826909570378,35.6220675147059,21.3344096923319
"60","NO",2022,56.951295358066,42.8284698286542,14.1228255294118
"61","CLE",2015,56.926393,28.586543,28.33985
"62","LA",2013,56.335768,33.184856,23.150912
"63","DEN",2022,56.2866861824284,27.6148864422323,27.1448728382353
"64","HOU",2019,55.8672575714142,23.525477965812,32.3417796056022
"65","LV",2020,55.2989832200758,38.709393025,16.5895901950758
"66","TB",2022,54.5454322905983,38.1806436111111,16.3647886794872
"67","BUF",2022,54.496997990828,12.6201838001012,41.8768141907268
"68","KC",2011,53.557763,35.521588,18.036175
"69","MIA",2022,53.5392893611111,17.1608709444444,36.3784184166667
"70","BAL",2007,53.255971,15.054902,38.201069
"71","HOU",2011,52.918592,26.870144,26.048448
"72","MIN",2023,52.8927515294118,40.0608454705882,12.8319060588235
"73","LV",2005,52.524462,0,52.524462
"74","TB",2010,52.498141,22.178427,30.319714
"75","IND",2019,52.2626857329545,36.5593796666667,14.2661380662879
"76","NYG",2014,52.148751,19.576306,32.572445
"77","MIA",2017,51.985424125,43.782180125,8.203244
"78","JAX",2024,51.729515379085,36.6662279738562,15.0632874052288
"79","HOU",2023,51.7065120444135,25.9022340526316,23.309672728624
"80","HOU",2024,51.6555211298246,35.1738746912281,16.4816464385965
"81","MIA",2019,51.6448496506827,9.9278275849359,41.7170220657468
"82","NE",2015,51.047048,27.371007,23.676041
"83","JAX",2020,51.0445468674242,19.0346578125,27.3533968049242
"84","LAC",2014,51.017451,20.183291,22.426268
"85","LV",2021,50.4650707963585,26.579287003268,23.7888216819795
"86","NE",2020,50.4098370441177,26.1930655735294,24.2167714705882
"87","CAR",2023,50.2146657761268,23.537659342437,26.5272367278075
"88","PHI",2005,50.134606,34.439091,15.695515
"89","TB",2023,49.8791172763158,33.8588859473684,16.0202313289474
"90","SF",2021,49.5917075614434,19.2108493526316,29.6148895088118
"91","SF",2022,49.4619054722222,12.2263837055556,37.2355217666667
"92","SF",2014,49.40927,13.287208,36.122062
"93","CHI",2016,49.4065105625,28.5186795,20.8878310625
"94","LV",2024,48.7798110980392,15.3130856470588,33.4667254509804
"95","IND",2022,48.7236412879902,8.15590744485294,36.2655018431373
"96","NYJ",2012,48.7085,23.602143,25.106357
"97","NYJ",2020,48.4860267289141,20.199426375,27.7861642402778
"98","BAL",2020,47.93761775,18.2365641666667,27.8479704722222
"99","PHI",2021,47.7854069555556,32.9413099,14.8440970555556
"100","MIN",2020,47.7029929644605,9.5261965,38.0018361008242
"101","KC",2016,47.6778148823529,25.9487929411765,21.7290219411765
"102","ARI",2014,47.614057,38.033767,6.483899
"103","WAS",2014,47.564961,3.851898,43.713063
"104","DAL",2022,47.4770018673891,33.0229381831785,11.9211273684211
"105","TEN",2021,47.4099653344071,20.0104523055556,23.9115899621849
"106","JAX",2021,47.3685298592437,30.6583880357143,15.4664531764706
"107","BAL",2019,47.3247901205882,5.46545204313725,41.859338077451
"108","MIA",2023,47.2443595849673,26.039934751634,21.2044248333333
"109","IND",2023,47.1619399598262,35.0002891448529,12.1616508149733
"110","PIT",2024,47.1229894222222,24.47435,19.5512762555556
"111","CIN",2024,46.6140153411765,24.3467438907563,19.5119101680672
"112","GB",2023,46.2447759401079,14.397977374613,30.7310755654949
"113","MIA",2024,45.940610777591,36.1062720717087,8.93149470588235
"114","NYG",2020,45.6732602504121,34.1186537464286,11.3603146289835
"115","TEN",2015,45.578691,9.735588,35.843103
"116","CHI",2020,45.4221274385621,20.1140860856209,25.1643563529412
"117","NYG",2013,44.844523,34.43283,10.411693
"118","JAX",2019,44.7085765650641,18.4793086458333,26.2292679192308
"119","TEN",2023,44.4150636521199,16.3232847647059,27.720361019767
"120","PIT",2012,44.184753,40.345808,3.838945
"121","CHI",2019,44.0486146041667,20.447493625,23.6011209791667
"122","CIN",2023,43.9776760294118,33.7209606470588,10.2567153823529
"123","TB",2024,43.8778791142857,26.6830301587302,16.3294249972222
"124","DEN",2013,43.775396,23.834146,19.94125
"125","NYG",2022,43.7241464353469,23.9350838208333,19.7890626145136
"126","MIN",2021,43.7180035294118,20.0562458823529,23.6617576470588
"127","MIA",2016,43.6310286120938,10.4500298823529,33.1809987297408
"128","NYJ",2016,43.4895971875,27.58223385,15.9073633375
"129","WAS",2018,43.3818066875,36.521168125,6.5158181875
"130","HOU",2016,43.0752985555556,3.56035372222222,38.5394438333333
"131","TB",2021,43.0346054831574,26.7219426527911,15.3356904093137
"132","DET",2020,42.9171713417832,15.1993161410256,27.7178552007576
"133","ATL",2019,42.867174672619,16.093204375,22.1504595833333
"134","CHI",2011,42.848546,41.338837,1.509709
"135","ATL",2023,42.7466926196078,15.0618611764706,26.9649714431373
"136","DAL",2023,42.568431379085,9.5564272124183,33.0120041666667
"137","NE",2023,42.5238057249874,21.8686264177979,20.6551793071895
"138","SEA",2011,42.1686145,39.145995,3.0226195
"139","CAR",2021,42.0033558382353,16.0684500882353,24.269954
"140","HOU",2017,41.910972110119,16.4417226517857,25.4692494583333
"141","DET",2024,41.6992088761905,13.9851892539683,27.7140196222222
"142","TEN",2019,41.6848485598997,21.6845369508772,15.6880863984962
"143","SEA",2018,41.6158367205882,1.77697276470588,39.8388639558824
"144","LAC",2020,41.4246567356019,27.3935966590909,14.031060076511
"145","BUF",2020,41.3873786624896,20.0399082940685,21.347470368421
"146","PHI",2019,41.3533655882353,20.2522152352941,21.1011503529412
"147","NYJ",2024,40.9582119128151,14.6158581806723,23.9873191218487
"148","NO",2020,40.9519169267974,25.8544972222222,14.0237717045752
"149","ARI",2012,40.771854,40.771854,0
"150","TB",2015,40.744543,29.047044,11.697499
"151","ARI",2020,40.6126009666667,11.5065935625,27.9582869041667
"152","JAX",2018,40.527868,38.5696175,0.666824125
"153","GB",2020,40.4837279913044,24.2901534393939,15.6124950519105
"154","SEA",2020,40.3645898325263,20.6324422647059,19.7321475678204
"155","WAS",2022,40.2207946397059,30.1661322941176,10.0546623455882
"156","IND",2017,39.9828526928571,33.9077301125,6.07512258035714
"157","DEN",2020,39.9521935086538,16.3314574470588,23.2644233557127
"158","HOU",2022,39.9288489979638,19.8299452794118,20.098903718552
"159","GB",2024,39.8940503068376,15.1856093461538,23.8393569606838
"160","MIA",2021,39.7947118291316,27.3579023389356,12.4368094901961
"161","DEN",2021,39.7073697237664,21.1166051047188,18.5907646190476
"162","ATL",2022,39.5120010626517,20.6388171256769,17.3712439369748
"163","LV",2022,39.3207090448763,26.0205483177521,13.3001607271242
"164","PHI",2012,39.188676,39.188676,0
"165","NE",2008,39.185965,39.185965,0
"166","SEA",2021,39.0656177058824,17.9325782352941,21.1330394705882
"167","CLE",2021,39.0149450194112,27.4113961575415,11.5692544243697
"168","PIT",2016,38.9459522631579,8.74139505263158,30.2045572105263
"169","LAC",2022,38.847190125,20.1249559027778,18.7222342222222
"170","CIN",2018,38.8003864086538,27.481058,11.3193284086538
"171","DET",2023,38.7199644936275,22.7088645936274,14.5530375
"172","NO",2019,38.6364225156863,25.0853942745098,13.5510282411765
"173","CHI",2013,38.381411,0,38.381411
"174","SF",2017,38.2109535625,16.0299586875,22.180994875
"175","ARI",2017,38.0593871875,34.6849699375,2.68437425
"176","PHI",2023,37.938787218254,12.1757234444444,25.7630637738095
"177","SEA",2023,37.9235892406417,12.6189689465241,25.3046202941176
"178","TB",2014,37.91063,4.600152,33.310478
"179","CIN",2022,37.4995485,14.29413395,21.15639875
"180","TB",2016,37.2336668715909,36.2563146215909,0.97735225
"181","KC",2012,37.210839,37.210839,0
"182","SEA",2019,37.1267533888889,26.5596262777778,10.5671271111111
"183","CHI",2009,36.759789,0,36.759789
"184","CLE",2019,36.7554300791667,11.4645258666667,25.2909042125
"185","NYG",2024,36.6796099035141,10.5146888067227,22.767705155615
"186","ATL",2018,36.6602590625,18.74292975,17.5987585625
"187","LV",2014,36.55725,0,36.55725
"188","MIA",2010,36.39909,13.724614,22.674476
"189","ATL",2013,36.340132,26.255194,10.084938
"190","ARI",2024,36.2592635713437,8.07335605882353,24.1484526301672
"191","LA",2024,36.1011377960526,29.7737371578947,6.262882375
"192","IND",2024,35.9326695143791,21.0692805764706,14.4524354084967
"193","GB",2017,35.8795380144231,29.8038966875,3.99803825
"194","SEA",2008,35.782404,35.782404,0
"195","NE",2004,35.782125,0,35.782125
"196","BUF",2012,35.589756,27.910553,7.679203
"197","WAS",2015,35.311285,17.318797,17.992488
"198","LV",2012,34.791277,0,34.791277
"199","LAC",2019,34.7441592327534,20.8537607029915,13.8903985297619
"200","CHI",2023,34.6382136681373,18.8432039705882,15.795009697549
"201","CHI",2022,34.3065348593137,19.9553604794118,14.0811985563726
"202","LV",2015,34.296364,12.595489,21.700875
"203","CLE",2004,34.280089,8.813856,25.466233
"204","IND",2021,34.2677884585561,22.1250386764706,11.3159175467914
"205","KC",2020,34.0994062795568,24.1781085988551,9.92129768070175
"206","DAL",2010,33.928904,33.928904,0
"207","BUF",2024,33.7850257523396,8.05809975,25.7269260023396
"208","KC",2019,33.7042171729323,19.1311363308271,14.5730808421053
"209","LAC",2012,33.641046,32.039943,1.601103
"210","PIT",2022,33.5769716,12.1194956470588,19.4853903647059
"211","MIN",2024,33.5437779925519,22.0340816147741,10.8848912666667
"212","NO",2014,33.491456,4.828271,28.663185
"213","BUF",2021,33.0016660660655,9.78384204453441,23.2178240215311
"214","PHI",2006,32.979414,32.979414,0
"215","CIN",2021,32.9078522142857,8.28466228571429,24.5535499285714
"216","BAL",2002,32.839898,2.210793,30.629105
"217","TEN",2018,32.7270636458333,15.6645143958333,16.16339425
"218","CLE",2020,32.7119338577534,14.1461161910867,18.5658176666667
"219","DEN",2019,32.7063879833333,12.4503350875,20.2560528958333
"220","ATL",2015,32.575823,0,27.0547
"221","JAX",2012,32.521371,20.523447,11.997924
"222","SEA",2012,32.49471,0,32.49471
"223","LV",2023,32.442751486631,20.5622585,11.612222986631
"224","NO",2023,32.390905622549,22.7229010735294,9.66800454901961
"225","IND",2013,32.1990675,30.8586965,1.340371
"226","JAX",2022,32.1888534798246,7.3723100877193,23.8711253921053
"227","JAX",2023,31.9481138125404,15.5564268713639,16.3916869411765
"228","NYJ",2022,31.7982321983193,26.0802036689076,5.71802852941176
"229","PIT",2020,31.7697760006313,16.0648988541667,14.9396506464646
"230","BAL",2012,31.616208,2.83157,28.784638
"231","MIA",2020,31.6002599553571,15.2336282303571,16.366631725
"232","HOU",2020,31.1898836664141,11.4442006152778,19.7456830511364
"233","ARI",2016,31.1334694031746,15.0783325406746,16.0551368625
"234","NO",2015,31.0566855,18.2781685,12.778517
"235","NE",2021,30.9136568492064,9.70101494444445,20.2193192380952
"236","BAL",2017,30.780623125,23.09783525,7.682787875
"237","IND",2007,30.737615,0,30.737615
"238","PIT",2023,30.6581908803419,6.03953177777778,24.4673415470085
"239","BAL",2005,30.629105,0,30.629105
"240","LA",2011,30.477698,28.978246,1.499452
"241","TB",2011,29.950291,0,29.950291
"242","LA",2002,29.831527,29.831527,0
"243","LV",2019,29.756366875,18.9053435,10.851023375
"244","NYG",2015,29.6692825,16.84011,12.103307
"245","DAL",2021,29.620088531746,18.6088438888889,10.6144359206349
"246","NE",2017,29.5920160026316,10.9796045684211,18.6124114342105
"247","CAR",2022,29.461084771505,8.62949857058824,19.4506152009167
"248","NYG",2006,29.446299,0,29.446299
"249","TB",2012,29.372924,24.61222,4.760704
"250","NE",2019,29.3398702478992,13.0768034243697,11.4416000588235
"251","GB",2021,29.1337596676937,14.2116422222222,14.9221174454715
"252","SF",2023,29.0978993580087,11.9356592,17.1622401580087
"253","NYG",2019,29.0772073261905,25.5402296803571,3.01774264583333
"254","KC",2017,29.0448711764706,4.28645752941176,24.7584136470588
"255","MIN",2016,28.9043489375,22.3502856875,6.55406325
"256","WAS",2024,28.8808813318182,8.80055625,19.8483109
"257","CLE",2002,28.830364,0,28.830364
"258","DAL",2019,28.8086778069444,8.4441635625,20.3645142444444
"259","NO",2008,28.617351,23.95098,4.666371
"260","KC",2023,28.5187838388278,19.8344016666667,8.68438217216117
"261","CLE",2003,28.508575,0,25.435847
"262","NE",2022,28.4590397379679,10.3118242673797,14.9797564705882
"263","TEN",2010,28.409325,21.916297,6.493028
"264","NO",2018,28.3974733888889,17.510597,10.8868763888889
"265","WAS",2004,28.391098,28.391098,0
"266","WAS",2006,28.391098,28.391098,0
"267","DEN",2011,28.284296,13.208076,15.07622
"268","GB",2022,28.2237771720143,15.5328314661319,12.6909457058824
"269","HOU",2010,28.090453,1.179566,26.910887
"270","CAR",2007,27.922597,2.117855,25.804742
"271","WAS",2023,27.896609035014,14.1279975742297,13.7686114607843
"272","KC",2015,27.868657,26.386529,1.482128
"273","BUF",2011,27.834877,8.494036,19.340841
"274","WAS",2010,27.737237,18.501012,9.236225
"275","BAL",2014,27.596389,17.575313,8.193791
"276","KC",2024,27.4865362058442,17.5587905,7.81739737857143
"277","NE",2014,27.412671,3.658132,23.754539
"278","CAR",2011,27.288871,0,27.288871
"279","BAL",2024,27.2863680603715,7.29502984210526,19.9913382182663
"280","CLE",2014,27.273543,26.161142,1.112401
"281","MIA",2012,27.193448,27.193448,0
"282","NYG",2017,27.1329116641484,18.2145453035714,8.91836636057692
"283","LV",2013,27.092774,1.29909,25.793684
"284","NYJ",2017,27.0657253581349,23.5883066706349,3.4774186875
"285","DEN",2023,26.9468715882353,13.2641702352941,13.6827013529412
"286","DET",2019,26.8803487890693,11.1191851640693,15.761163625
"287","ARI",2019,26.8747384215812,8.42842826388889,18.2493575326923
"288","TEN",2020,26.8547961902778,13.1090011666667,12.2631977013889
"289","BUF",2016,26.8159524392857,14.6276136625,12.1883387767857
"290","CAR",2013,26.727159,2.857462,23.869697
"291","LA",2007,26.256696,26.256696,0
"292","LV",2008,26.248374,24.912051,1.336323
"293","BAL",2008,26.169748,1.381228,24.78852
"294","MIA",2011,26.13294,26.13294,0
"295","MIN",2014,25.81945,25.81945,0
"296","DET",2012,25.81478,15.595623,10.219157
"297","SEA",2017,25.7258360170455,2.85650575,22.8693302670455
"298","KC",2004,25.637474,25.637474,0
"299","KC",2005,25.637474,25.637474,0
"300","TB",2020,25.6277517065108,17.8757210123932,7.73976774411765
"301","WAS",2016,25.4759553390152,10.6132758125,14.8626795265152
"302","ATL",2014,25.448721,9.898984,15.549737
"303","PHI",2022,25.3089427642857,10.344278375,13.950732275
"304","WAS",2017,25.2685938566919,16.988990375,8.27960348169192
"305","NYG",2004,25.064818,0,25.064818
"306","CLE",2016,24.9583738125,22.3654296696429,1.783773
"307","LA",2014,24.886113,22.411927,2.474186
"308","SF",2016,24.869824875,4.1294584375,20.7403664375
"309","DET",2002,24.716223,0,24.716223
"310","LA",2006,24.677828,24.677828,0
"311","SEA",2009,24.491228,24.491228,0
"312","GB",2016,24.4266366519139,2.34491251315789,22.081724138756
"313","LAC",2013,24.206678,8.913101,15.293577
"314","MIN",2019,24.14240075,15.5470309444444,8.59536980555555
"315","DAL",2013,24.12288,0,24.12288
"316","CIN",2011,24.102514,0,24.102514
"317","ATL",2012,23.801453,0,23.801453
"318","WAS",2012,23.764691,14.063568,9.701123
"319","CHI",2004,23.450611,0,23.450611
"320","CHI",2017,23.303146875,11.6843985625,9.8215023125
"321","SEA",2014,23.290797,10.125112,13.165685
"322","CHI",2024,23.2745895907563,13.4741123638655,8.29461222689076
"323","JAX",2013,23.10655,18.112729,4.993821
"324","NO",2013,22.942133,0,22.942133
"325","KC",2021,22.8331377906863,16.4072518906863,6.32421885
"326","DAL",2012,22.801757,0,22.801757
"327","MIA",2018,22.646462375,20.19760425,2.448858125
"328","PHI",2018,22.5500174444444,4.87220427777778,17.6778131666667
